Date,XLF_ret1,XOP_ret1,XLK_ret1,,,,,,,,,,,,,,,
12/31/13,FILL IN THE REST OF THE CALCS,,,,,,,,,,,,,,,,,
4/13/15,0.003713356,-0.008396975,-0.002851722,,,,,,,,,,,,,,,
4/14/15,0,0.032140042,-0.003098296,,,,,,,,,,,,,,,
4/15/15,0.003698897,0.037292593,0.008845322,,,,,,,,,,,,,,,
4/16/15,0.001638022,-0.006830846,-0.003554191,,,,,,,,,,,,,,,
4/17/15,-0.013491659,-0.018099484,-0.013793414,,,,,,,,,,,,,,,
4/20/15,0.004144242,0.00700444,0.017121022,,,,,,,,,,,,,,,
4/21/15,-0.004952481,-0.030935244,-0.00047435,,,,,,,,,,,,,,,
4/22/15,0.007051121,0.000188771,0.010199335,,,,,,,,,,,,,,,
4/23/15,0.001647106,0.012653275,0.00399177,,,,,,,,,,,,,,,
4/24/15,-0.001644397,-0.00466217,0.008652652,,,,,,,,,,,,,,,
4/27/15,-0.003706515,-0.011055033,0.002782089,,,,,,,,,,,,,,,
4/28/15,0.005787557,0.009852528,0.003237296,,,,,,,,,,,,,,,
4/29/15,-0.000411636,0.028329984,-0.004839643,,,,,,,,,,,,,,,
4/30/15,-0.007812346,0.005108514,-0.013895812,,,,,,,,,,,,,,,
5/1/15,0.008703229,-0.006171462,0.012212522,,,,,,,,,,,,,,,
5/4/15,0.009859954,-0.011689766,0.000928372,,,,,,,,,,,,,,,
5/5/15,-0.008950213,-0.020883255,-0.015531042,,,,,,,,,,,,,,,
5/6/15,-0.004926291,-0.007172511,-0.008476682,,,,,,,,,,,,,,,
